PROFILE_TEXT,OCCUPATIONAL CATEGORY,LABEL
college graduate office clerk sales clerk computer literate no experience,Sales/Service/Retail,2
college graduate sales associate professional data encoder cashier service crew computer literate cashier cashier,Sales/Service/Retail,2
2nd year college level cashier cashier customer service assistant,Production and Manufacturing,1
college graduate office clerk office clerk no experience,Production and Manufacturing,1
high school graduate production worker production worker checker,Production and Manufacturing,1
college graduate electrician general computer literate auto mechanic gardening information technology it specialist,Production and Manufacturing,1
grade xii for k to 12 bagger production worker bagger production worker bagger,Production and Manufacturing,1
grade xii for k to 12 saleslady computer literate domestic chores saleslady saleslady,Sales/Service/Retail,2
3rd year college level car driver car driver no experience,Clerical and Administrative,3
2nd year college level service crew photography bagger,Sales/Service/Retail,2
3rd year college level call center agent service crew production worker call center agent service crew production worker no experience,Sales/Service/Retail,2
high school graduate office clerk office clerk no experience,Production and Manufacturing,1
college graduate stock clerk cashier cashier aide service crew store helper maintenance crew computer literate domestic chores gardening photography time management efficient adaptability teamwork finance officer,Clerical and Administrative,3
2nd year college level sales associate professional checker computer literate carpentry work electrician domestic chores waiter general,Production and Manufacturing,1
college graduate accounts officer kitchen crew checker accounts officer kitchen crew checker no experience,Clerical and Administrative,3
high school graduate production worker production worker production worker,Sales/Service/Retail,2
college graduate cashier cashier no experience,Clerical and Administrative,3
college graduate sales clerk computer literate beautician photography service crew,Sales/Service/Retail,2
high school graduate cashier cashier no experience,Sales/Service/Retail,2
high school graduate cashier cashier no experience,Clerical and Administrative,3
college graduate sales executive service crew sales executive service crew no experience,General Services and Security,4
high school graduate welder computer literate production worker,Clerical and Administrative,3
1st year college level office clerk office clerk merchandiser sales clerk machine tool machine operator,Clerical and Administrative,3
high school graduate production worker electrician no experience,Production and Manufacturing,1
college graduate accounts officer sales clerk bagger computer literate domestic chores waiter general,Clerical and Administrative,3
college graduate financial consultant inventory clerk computer literate no experience,Clerical and Administrative,3
college graduate accounts officer accounts officer cashier,Production and Manufacturing,1
grade xii for k to 12 production worker computer literate food attendant,Sales/Service/Retail,2
high school graduate office clerk service crew office clerk service crew no experience,Sales/Service/Retail,2
college graduate office clerk merchandiser computer literate no experience,Sales/Service/Retail,2
grade xii for k to 12 merchandiser merchandiser no experience,Clerical and Administrative,3
vocational graduate bagger production worker computer literate no experience,Warehouse and Logistics,0
high school graduate welder driving no experience,Production and Manufacturing,1
high school graduate warehouse clerk waiter general service crew driving bus conductor warehouse helper,Production and Manufacturing,1
college graduate receptionist general computer literate no experience,Sales/Service/Retail,2
2nd year college level sales clerk computer literate food server,Sales/Service/Retail,2
high school graduate saleslady domestic chores domestic helper,Sales/Service/Retail,2
college graduate production worker computer literate customer service assistant,Production and Manufacturing,1
high school graduate production worker computer literate no experience,Production and Manufacturing,1
1st year college level service crew service crew service crew,Sales/Service/Retail,2
3rd year college level cashier service crew computer literate cashier,Sales/Service/Retail,2
high school graduate production worker production worker mixing and blending machine operator,Production and Manufacturing,1
4th year college level service crew computer literate no experience,Sales/Service/Retail,2
high school graduate cashier service crew cashier service crew no experience,Sales/Service/Retail,2
college graduate assistant cook auto mechanic no experience,Production and Manufacturing,1
college graduate service crew computer literate service crew,Sales/Service/Retail,2
college graduate editor data encoder office clerk merchandiser electronics technician computer literate painting jobs domestic chores photography painter artist electronics accounts manager,General Services and Security,4
college graduate sales clerk computer literate no experience,Sales/Service/Retail,2
high school graduate storeroom clerk welder welding golf caddie,Production and Manufacturing,1
2nd year college level data encoder storeroom clerk bagger computer literate no experience,Warehouse and Logistics,0
2nd year college level staff officer afp production worker food repacker computer literate saleslady,Sales/Service/Retail,2
1st year college level quality control assistant service crew production worker quality control assistant service crew production worker no experience,Production and Manufacturing,1
secondary k 12 maintenance crew computer literate maintenance crew,Production and Manufacturing,1
2nd year college level service crew production worker computer literate domestic chores quality control assistant,Warehouse and Logistics,0
1st year college level cashier service crew merchandiser computer literate domestic chores no experience,Sales/Service/Retail,2
college graduate bagger production worker computer literate no experience,Warehouse and Logistics,0
high school graduate sales associate professional service crew computer literate no experience,Sales/Service/Retail,2
high school graduate kitchen crew driving storeroom clerk,Sales/Service/Retail,2
high school graduate sales associate professional computer literate cashier,Sales/Service/Retail,2
1st year college level vegetable farmer vegetable farmer vegetable farmer,Production and Manufacturing,1
high school graduate street non food vendor computer literate member of the barangay council sangguniang pambarangay,Sales/Service/Retail,2
college graduate utility worker production worker gardening office clerk cashier saleslady,Production and Manufacturing,1
high school graduate production assistant beautician no experience,Production and Manufacturing,1
high school graduate service crew service crew service crew,Sales/Service/Retail,2
college graduate administration services aide administration services aide no experience,Sales/Service/Retail,2
2nd year college level filing clerk call center agent production worker filing clerk call center agent production worker no experience,Production and Manufacturing,1
2nd year high school grade viii for k to 12 building helper gov building helper gov building helper gov,Production and Manufacturing,1
2nd year college level service crew computer literate photography no experience,Production and Manufacturing,1
1st year college level customer service assistant customer service assistant cashier,Clerical and Administrative,3
college graduate production worker production worker production machine operator,Production and Manufacturing,1
2nd year college level data encoder computer literate warehouse clerk,Clerical and Administrative,3
4th year college level cashier computer literate kitchen helper,Sales/Service/Retail,2
vocational undergraduate production worker driving security guard,Production and Manufacturing,1
high school graduate production worker production worker production worker,Production and Manufacturing,1
2nd year college level cashier computer literate domestic chores production worker,Sales/Service/Retail,2
high school graduate gasoline pump boy production worker computer literate domestic chores no experience,Production and Manufacturing,1
grade xii for k to 12 bagger bagger no experience,Sales/Service/Retail,2
2nd year college level accounts officer sales clerk beautician cashier,Clerical and Administrative,3
college graduate customer relations officer manufacturing laborer customer relations officer manufacturing laborer no experience,Clerical and Administrative,3
high school graduate room attendant bagger production worker computer literate production worker,Production and Manufacturing,1
2nd year college level delivery helper computer literate warehouse clerk,Production and Manufacturing,1
high school graduate audit assistant audit assistant no experience,Production and Manufacturing,1
grade xii for k to 12 cashier cashier no experience,Sales/Service/Retail,2
1st year college level production worker production worker warehouse clerk,Clerical and Administrative,3
2nd year college level bottle sorter production worker bottle sorter production worker no experience,Production and Manufacturing,1
college graduate administrative assistant administrative assistant cashier,Sales/Service/Retail,2
high school graduate production worker production worker accounts officer,Production and Manufacturing,1
college graduate counter clerk bagger computer literate service crew,General Services and Security,4
2nd year college level service crew computer literate domestic chores service crew,Sales/Service/Retail,2
college graduate teacher aide domestic chores no experience,Clerical and Administrative,3
high school graduate merchandiser beautician promo salesperson,Sales/Service/Retail,2
college graduate accounting clerk accounting clerk no experience,Sales/Service/Retail,2
college graduate cashier cashier no experience,Clerical and Administrative,3
college graduate accounts officer computer literate no experience,Clerical and Administrative,3
high school graduate bagger computer literate photography cashier,Warehouse and Logistics,0
2nd year college level food repacker domestic chores promo salesperson,Sales/Service/Retail,2
college graduate kitchen crew computer literate no experience,Sales/Service/Retail,2
college graduate customer service assistant computer literate no experience,Sales/Service/Retail,2
high school graduate service crew production worker computer literate utility worker,Sales/Service/Retail,2
3rd year college level service crew computer literate domestic chores no experience,Sales/Service/Retail,2
1st year college level sales associate professional stock clerk sales clerk checker bagger production worker computer literate maintenance crew,Sales/Service/Retail,2
college graduate cashier cashier no experience,Sales/Service/Retail,2
grade xii for k to 12 bagger masonry painting jobs production worker,Sales/Service/Retail,2
college graduate documentation staff office clerk cashier sales clerk computer literate no experience,Sales/Service/Retail,2
1st year college level cashier cashier no experience,Sales/Service/Retail,2
vocational graduate sales associate professional auto mechanic laborer helper fishery,Production and Manufacturing,1
1st year college level checker production worker computer literate sewing dresses enumerator,Production and Manufacturing,1
grade xii for k to 12 cashier beautician domestic chores no experience,Sales/Service/Retail,2
high school graduate telemarketer collection assistant customer service assistant graphic editing credit and collection clerk,Clerical and Administrative,3
secondary k 12 service crew computer literate production worker,Sales/Service/Retail,2
college graduate service crew computer literate domestic chores no experience,Sales/Service/Retail,2
high school graduate production worker production worker production worker,Clerical and Administrative,3
1st year college level storeroom clerk computer literate production machine operator,Sales/Service/Retail,2
college graduate business development marketing assistant gov business development marketing assistant gov no experience,Sales/Service/Retail,2
college graduate project coordinator front desk clerk ship crew computer literate domestic chores no experience,Sales/Service/Retail,2
high school graduate customer service assistant service crew household attendant computer literate safety officer,Sales/Service/Retail,2
high school graduate production worker domestic chores machine tool machine operator,Clerical and Administrative,3
high school graduate construction stonemason construction stonemason construction stonemason,Production and Manufacturing,1
1st year college level service crew production worker electronics no experience,Clerical and Administrative,3
1st year college level promo salesperson promo salesperson no experience,Sales/Service/Retail,2
high school graduate baker general bottle sorter baker general bottle sorter no experience,Sales/Service/Retail,2
grade xii for k to 12 cashier customer service assistant computer literate cashier,Clerical and Administrative,3
high school graduate office clerk office clerk no experience,Sales/Service/Retail,2
college graduate food server domestic chores no experience,Warehouse and Logistics,0
college graduate human resource development clerk office clerk computer literate no experience,Clerical and Administrative,3
high school graduate service crew service crew waiter general,Production and Manufacturing,1
high school graduate sales associate professional beautician sales clerk,Sales/Service/Retail,2
1st year college level security guard security guard no experience,General Services and Security,4
1st year college level service crew bagger delivery helper ceiling installer line installer,General Services and Security,4
high school graduate production worker production worker promo salesperson,Production and Manufacturing,1
4th year college level data encoder computer literate domestic chores no experience,Warehouse and Logistics,0
vocational graduate production worker computer literate printing assistant,Sales/Service/Retail,2
2nd year college level cashier bottle sorter computer literate cashier,Sales/Service/Retail,2
high school graduate service crew service crew no experience,Production and Manufacturing,1
high school graduate cashier cashier cashier,Sales/Service/Retail,2
high school graduate service crew production worker service crew production worker no experience,Sales/Service/Retail,2
high school graduate production worker production worker machine tool machine operator,Sales/Service/Retail,2
grade xii for k to 12 bagger computer literate no experience,Warehouse and Logistics,0
1st year college level sales clerk sales clerk cashier,Sales/Service/Retail,2
college graduate store supervisor marketing assistant merchandiser sales clerk store salesperson scanner data computer literate painter artist meter reader sales clerk,Warehouse and Logistics,0
high school graduate bagger bagger no experience,Sales/Service/Retail,2
college graduate customer service assistant customer service assistant no experience,Sales/Service/Retail,2
3rd year college level kitchen crew kitchen crew no experience,Production and Manufacturing,1
grade xii for k to 12 office clerk office clerk promo salesperson,Clerical and Administrative,3
college graduate cashier computer literate no experience,Sales/Service/Retail,2
1st year college level storeroom clerk storeroom clerk no experience,Sales/Service/Retail,2
3rd year college level storeroom clerk cashier storeroom clerk cashier enumerator,Sales/Service/Retail,2
college graduate cashier cashier no experience,General Services and Security,4
high school graduate production worker computer literate delivery checker delivery checker,Warehouse and Logistics,0
grade xii for k to 12 service crew service crew service crew,Sales/Service/Retail,2
2nd year high school grade viii for k to 12 stock clerk bagger electrician no experience,Production and Manufacturing,1
college graduate data encoder office cleaner data encoder office cleaner no experience,Sales/Service/Retail,2
high school graduate utility worker domestic chores waitress,General Services and Security,4
2nd year college level data encoder computer literate no experience,General Services and Security,4
vocational graduate production helper production helper sales clerk,Production and Manufacturing,1
high school graduate cashier service crew sales clerk computer literate sales clerk,Sales/Service/Retail,2
vocational graduate production worker production worker mail sorter,Production and Manufacturing,1
high school graduate sales clerk sales clerk sales clerk,Clerical and Administrative,3
high school graduate office clerk office clerk order materials clerk,Sales/Service/Retail,2
college graduate office clerk service crew office clerk service crew no experience,Sales/Service/Retail,2
grade xii for k to 12 cashier welder computer literate driving masonry gardening no experience,Sales/Service/Retail,2
3rd year college level storekeeper computer literate cashier,Sales/Service/Retail,2
college graduate computer programmer data analyst computer programmer data analyst no experience,Production and Manufacturing,1
3rd year college level sales amp marketing assistant sales amp marketing assistant no experience,Clerical and Administrative,3
college graduate storeroom clerk kitchen crew storeroom clerk kitchen crew no experience,Production and Manufacturing,1
high school graduate service crew computer literate machine tool machine operator,Sales/Service/Retail,2
college graduate stock clerk computer literate no experience,Sales/Service/Retail,2
college graduate office clerk checker production helper office clerk checker production helper no experience,Production and Manufacturing,1
college graduate storeroom clerk service crew storeroom clerk service crew no experience,Sales/Service/Retail,2
college graduate storeroom clerk service crew storeroom clerk service crew no experience,Clerical and Administrative,3
high school graduate cashier service crew computer literate domestic chores cashier,Sales/Service/Retail,2
high school graduate service crew service crew cashier,Sales/Service/Retail,2
college graduate service crew service crew barista,Sales/Service/Retail,2
high school graduate sales associate professional sales associate professional service crew,Sales/Service/Retail,2
college graduate store manager store manager no experience,Sales/Service/Retail,2
4th year college level audit assistant office clerk central office equipment installer audit assistant office clerk central office equipment installer no experience,Production and Manufacturing,1
2nd year college level call center agent production worker call center agent production worker no experience,Production and Manufacturing,1
college graduate quality assurance inspector production worker computer literate office clerk,Production and Manufacturing,1
college graduate production helper stenography sewing dresses log sorter,General Services and Security,4
college graduate cashier checker computer literate domestic chores customer service assistant,Warehouse and Logistics,0
high school graduate production helper computer literate carpentry work tailoring gardening photography no experience,Production and Manufacturing,1
high school graduate customer service assistant computer literate service crew,Sales/Service/Retail,2
high school graduate service crew computer literate domestic chores saleslady,Sales/Service/Retail,2
3rd year college level bottle sorter bottle sorter no experience,Warehouse and Logistics,0
high school graduate warehouse clerk saleslady computer literate photography cashier,Warehouse and Logistics,0
1st year college level utility worker warehouse helper sewing dresses domestic chores no experience,Warehouse and Logistics,0
college graduate housekeeper private housekeeper private no experience,Sales/Service/Retail,2
elementary graduate mason general carpenter gov carpentry work masonry mason general,Production and Manufacturing,1
grade xii for k to 12 bottle sorter bottle sorter no experience,Warehouse and Logistics,0
1st year college level production worker computer literate domestic chores no experience,Production and Manufacturing,1
high school graduate room attendant production helper room attendant production helper no experience,Production and Manufacturing,1
3rd year college level gate crossing keeper gov production helper gate crossing keeper gov production helper utility worker,Production and Manufacturing,1
high school graduate service crew computer literate domestic chores no experience,Sales/Service/Retail,2
high school graduate customer service assistant bottle sorter computer literate quality analyst,Warehouse and Logistics,0
high school graduate saleslady computer literate warehouse clerk,Production and Manufacturing,1
high school graduate welder masonry painting jobs welder,Production and Manufacturing,1
1st year college level laborer laborer merchandiser,Production and Manufacturing,1
high school graduate merchandiser computer literate domestic chores merchandiser,Sales/Service/Retail,2
grade xii for k to 12 bagger driving domestic chores bagger,Production and Manufacturing,1
4th year college level office clerk computer literate no experience,Production and Manufacturing,1
2nd year college level service crew production worker computer literate domestic chores production machine operator,Production and Manufacturing,1
high school graduate production worker driving gardening hotel housekeeping attendant,General Services and Security,4
college graduate production worker domestic chores street food vendor,Production and Manufacturing,1
1st year college level administrative supervisor computer literate area operations manager,Warehouse and Logistics,0
high school graduate production worker computer literate no experience,Sales/Service/Retail,2
4th year college level kitchen crew kitchen crew no experience,Production and Manufacturing,1
4th year college level service crew domestic chores hand packer,Sales/Service/Retail,2
3rd year college level warehouse clerk warehouse clerk production worker,Warehouse and Logistics,0
high school graduate truck driver driving truck driver,General Services and Security,4
high school graduate company driver company driver no experience,General Services and Security,4
high school graduate warehouse clerk warehouse clerk sales clerk,Warehouse and Logistics,0
high school graduate office clerk production worker office clerk production worker no experience,Production and Manufacturing,1
1st year college level service crew merchandiser production worker strong communication service creative adaptability work ethic eagerness to learn and contribute security guard fish processing worker log sorter service crew,Production and Manufacturing,1
4th year college level quality assurance staff hardworking willing to work under pressure good sense of humor patience sales associate professional fashion consultant,Production and Manufacturing,1
college graduate service crew salesman bagger production worker computer literate domestic chores sales clerk production worker,Warehouse and Logistics,0
college graduate service crew salesman bagger production worker computer literate domestic chores sales clerk production worker,Production and Manufacturing,1
1st year college level hotel housekeeping attendant merchandiser bagger hotel housekeeping attendant merchandiser bagger janitorial supervisor,Sales/Service/Retail,2
2nd year college level production worker computer literate no experience,Production and Manufacturing,1
college graduate warehouseman warehouseman enumerator,Production and Manufacturing,1
high school graduate production helper painting jobs checker,Production and Manufacturing,1
college graduate production worker computer literate driving painting jobs painter artist security guard,Production and Manufacturing,1
college graduate cashier computer literate accounting clerk,Sales/Service/Retail,2
high school graduate welder carpentry work masonry painting jobs welder,Production and Manufacturing,1
grade xii for k to 12 security guard lowland rice farmer computer literate no experience,Production and Manufacturing,1
high school graduate bagger domestic chores no experience,Warehouse and Logistics,0
1st year college level store manager store supervisor warehouse clerk production worker computer literate no experience,Clerical and Administrative,3
high school graduate production worker production worker production worker,Production and Manufacturing,1
2nd year college level human resource development assistant computer literate no experience,Production and Manufacturing,1
secondary k 12 service crew computer literate no experience,Sales/Service/Retail,2
grade xii for k to 12 customer service assistant service crew computer literate no experience,Sales/Service/Retail,2
high school graduate food repacker domestic chores sidewalk stall vendor,Warehouse and Logistics,0
elementary graduate warehouse clerk domestic chores no experience,Warehouse and Logistics,0
high school graduate warehouse clerk production worker warehouse clerk production worker inventory clerk,Production and Manufacturing,1
4th year high school grade x for k to 12 service crew domestic chores no experience,Sales/Service/Retail,2
1st year college level production worker computer literate no experience,Production and Manufacturing,1
2nd year college level call center agent service crew computer literate no experience,Sales/Service/Retail,2
high school graduate customer service assistant customer service assistant no experience,Production and Manufacturing,1
high school graduate production worker gardening no experience,Production and Manufacturing,1
1st year college level quality assurance staff warehouse clerk quality assurance staff warehouse clerk quality control assistant,Production and Manufacturing,1
1st year college level customer service assistant production worker customer service assistant production worker painter,Production and Manufacturing,1
grade xii for k to 12 service crew service crew sales clerk,Sales/Service/Retail,2
college graduate inventory clerk warehouse clerk merchandiser production worker computer literate merchandiser merchandiser call center agent,Sales/Service/Retail,2
2nd year high school grade viii for k to 12 bottle sorter bottle sorter no experience,Warehouse and Logistics,0
college graduate production worker computer literate no experience,Production and Manufacturing,1
college graduate data encoder computer literate no experience,Sales/Service/Retail,2
high school graduate service crew service crew gasoline pump boy,Sales/Service/Retail,2
vocational undergraduate production worker production worker production worker,Production and Manufacturing,1
college graduate laborer laborer service crew,Production and Manufacturing,1
college graduate cashier stenography service crew,Sales/Service/Retail,2
college graduate warehouse clerk computer literate human resource management clerk call center agent,Warehouse and Logistics,0
high school graduate production worker machinery machine tool machine operator,Production and Manufacturing,1
high school graduate production helper production helper warehouse clerk,Production and Manufacturing,1
4th year college level cook general mechanical helper cook general mechanical helper no experience,Production and Manufacturing,1
4th year high school grade x for k to 12 warehouse clerk production helper warehouse clerk production helper household attendant,Production and Manufacturing,1
college graduate production helper production helper no experience,Production and Manufacturing,1
college graduate stockman stockman no experience,Production and Manufacturing,1
4th year college level administrative clerk administrative clerk no experience,Production and Manufacturing,1
college graduate enumerator computer literate cashier cash desk cashier saleslady,Warehouse and Logistics,0
vocational graduate warehouse clerk warehouse clerk cashier,Production and Manufacturing,1
college graduate production worker computer literate sales clerk,Production and Manufacturing,1
vocational graduate service crew computer literate no experience,Sales/Service/Retail,2
3rd year high school grade ix for k to 12 bottle sorter bottle sorter no experience,Warehouse and Logistics,0
1st year college level office clerk production worker computer literate telemarketer,Production and Manufacturing,1
1st year college level warehouse clerk warehouse clerk no experience,Production and Manufacturing,1
college graduate sales clerk sales clerk sales amp marketing assistant,Sales/Service/Retail,2
college graduate central office equipment installer computer literate no experience,Production and Manufacturing,1
1st year college level car driver computer literate electrician helper technician,Production and Manufacturing,1
high school graduate service crew production worker computer literate warehouse helper,Production and Manufacturing,1
high school graduate service crew computer literate no experience,Production and Manufacturing,1
2nd year college level service crew computer literate domestic chores warehouse clerk,Production and Manufacturing,1
high school graduate sales clerk checker bagger sales clerk checker bagger no experience,Sales/Service/Retail,2
high school graduate service crew domestic chores production worker,Sales/Service/Retail,2
high school graduate production worker masonry delivery helper delivery helper,Warehouse and Logistics,0
high school graduate warehouse helper computer literate no experience,Warehouse and Logistics,0
1st year college level production helper production helper no experience,Production and Manufacturing,1
high school graduate warehouse clerk merchandiser promo salesperson warehouse clerk merchandiser promo salesperson call center agent,Warehouse and Logistics,0
2nd year college level bagger bagger logistics officer,Production and Manufacturing,1
college graduate storeroom clerk storeroom clerk no experience,Production and Manufacturing,1
2nd year college level service crew computer literate domestic chores no experience,Sales/Service/Retail,2
college graduate merchandiser production worker computer literate merchandiser,Production and Manufacturing,1
vocational graduate cashier customer service assistant service crew checker production worker computer literate office clerk,Sales/Service/Retail,2
college graduate warehouse clerk sales clerk warehouse clerk sales clerk no experience,Warehouse and Logistics,0
1st year high school grade vii for k to 12 company driver company driver no experience,Production and Manufacturing,1
high school graduate janitress dishwasher food repacker domestic chores gardening utility worker,Production and Manufacturing,1
grade xii for k to 12 warehouse clerk warehouse clerk food repacker,Warehouse and Logistics,0
4th year high school grade x for k to 12 warehouse clerk warehouse clerk massage parlor general manager,Warehouse and Logistics,0
high school graduate cashier service crew computer literate no experience,Sales/Service/Retail,2
3rd year college level production helper production helper utility worker,Production and Manufacturing,1
grade xii for k to 12 service crew computer literate service crew,Sales/Service/Retail,2
high school graduate production worker production worker warehouse clerk,Production and Manufacturing,1
college graduate production worker computer literate domestic chores production worker,Production and Manufacturing,1
high school graduate bottle sorter production worker computer literate domestic chores domestic helper,Production and Manufacturing,1
vocational graduate service crew computer literate service crew,Sales/Service/Retail,2
4th year college level customer service assistant computer literate no experience,Production and Manufacturing,1
3rd year college level warehouse clerk computer literate domestic chores financial consultant,Warehouse and Logistics,0
grade xii for k to 12 service crew production worker service crew production worker production worker,Sales/Service/Retail,2
high school graduate laborer helper fishery laborer helper fishery laborer helper fishery,Production and Manufacturing,1
3rd year high school grade ix for k to 12 mail sorter production worker domestic chores sales clerk,Warehouse and Logistics,0
college graduate mail sorter production helper mail sorter production helper no experience,Production and Manufacturing,1
high school graduate warehouse clerk production worker warehouse clerk production worker domestic helper,Warehouse and Logistics,0
3rd year high school grade ix for k to 12 data encoder warehouse clerk domestic chores garbage collector,Warehouse and Logistics,0
high school graduate production worker production worker cook general,Production and Manufacturing,1
college graduate administration services aide administration services aide customer service assistant,Sales/Service/Retail,2
2nd year college level customer service assistant call center agent service crew computer literate painter artist service crew,Production and Manufacturing,1
grade xii for k to 12 hand packer hand packer no experience,Production and Manufacturing,1
grade xii for k to 12 service crew service crew sales clerk,Sales/Service/Retail,2
2nd year college level salesman production worker computer literate driving financial consultant,Sales/Service/Retail,2
college graduate merchandising supervisor retail associate human resource development clerk computer literate no experience,Sales/Service/Retail,2
college graduate office clerk computer literate teacher secondary education,Clerical and Administrative,3
3rd year high school grade ix for k to 12 production worker domestic chores no experience,Production and Manufacturing,1
2nd year college level production worker computer literate domestic chores sales clerk,Production and Manufacturing,1
4th year high school grade x for k to 12 warehouse clerk production worker warehouse clerk production worker production machine operator,Production and Manufacturing,1
2nd year college level office clerk service crew room attendant production worker office clerk service crew room attendant production worker no experience,Production and Manufacturing,1
high school graduate production worker production worker production worker,Production and Manufacturing,1
grade xii for k to 12 store helper domestic chores no experience,Production and Manufacturing,1
college graduate data encoder documentation clerk office clerk customer service assistant computer literate domestic chores no experience,Sales/Service/Retail,2
elementary graduate warehouse clerk warehouse clerk hospital housekeeper gov,Warehouse and Logistics,0
college graduate production worker production worker casino dealer,Production and Manufacturing,1
high school graduate production worker production worker production worker,Production and Manufacturing,1
2nd year college level production helper domestic chores housekeeper private,Production and Manufacturing,1
high school graduate service crew computer literate service crew,Production and Manufacturing,1
college graduate service crew computer literate beautician domestic chores cashier,Sales/Service/Retail,2
college graduate production helper carpentry work scaffolder,Production and Manufacturing,1
1st year college level office clerk merchandiser office clerk merchandiser office clerk,Warehouse and Logistics,0
college graduate inventory clerk office clerk computer literate treasury assistant,Warehouse and Logistics,0
college graduate storeroom clerk cashier service crew computer literate domestic chores meter reader service crew sales clerk,Sales/Service/Retail,2
high school graduate warehouse clerk auto mechanic no experience,Warehouse and Logistics,0
2nd year college level data encoder human resource management clerk administrative assistant office clerk cash collector customer service assistant computer literate no experience,Clerical and Administrative,3
college graduate kitchen crew production worker domestic chores no experience,Production and Manufacturing,1
high school graduate production worker masonry construction laborer,Production and Manufacturing,1
4th year college level production worker production worker utility worker,Production and Manufacturing,1
high school graduate production worker hand packer beautician domestic chores saleslady,General Services and Security,4
college graduate bagger computer literate no experience,Warehouse and Logistics,0
high school graduate service crew production worker computer literate production machine operator,Production and Manufacturing,1
college graduate accounts officer quality assurance staff administrative assistant office clerk computer literate information technology officer,Warehouse and Logistics,0
grade xii for k to 12 service crew production worker service crew production worker no experience,Production and Manufacturing,1
high school graduate warehouse clerk warehouse clerk sewer,Warehouse and Logistics,0
4th year high school grade x for k to 12 warehouse clerk warehouse clerk saleslady,Warehouse and Logistics,0
high school graduate warehouse clerk domestic chores bagger,Warehouse and Logistics,0
high school graduate merchandiser merchandiser merchandiser food repacker,Sales/Service/Retail,2
high school graduate housekeeper hotel and resorts production worker domestic chores housekeeping mechanic helper,Warehouse and Logistics,0
3rd year high school grade ix for k to 12 company driver company driver no experience,General Services and Security,4
high school graduate warehouse clerk production helper warehouse clerk production helper sales associate professional,Production and Manufacturing,1
grade xii for k to 12 production worker computer literate domestic chores merchandiser,Production and Manufacturing,1
high school graduate call center agent computer literate bagger,Warehouse and Logistics,0
elementary graduate warehouse clerk warehouse clerk warehouse clerk,Warehouse and Logistics,0
grade xii for k to 12 cashier computer literate cashier,Production and Manufacturing,1
high school graduate warehouse clerk driving construction laborer,Warehouse and Logistics,0
2nd year college level service crew computer literate domestic chores communication no experience,Sales/Service/Retail,2
high school graduate production worker production worker machine tool machine operator,Production and Manufacturing,1
high school graduate storekeeper office clerk bagger computer literate storeroom clerk,Warehouse and Logistics,0
high school graduate merchandiser merchandiser sales clerk,Sales/Service/Retail,2
college graduate production worker computer literate domestic chores no experience,Production and Manufacturing,1
college graduate receiving clerk office clerk receiving clerk office clerk enumerator,Warehouse and Logistics,0
2nd year college level production worker domestic chores domestic helper,General Services and Security,4
grade xii for k to 12 kitchen crew computer literate no experience,Production and Manufacturing,1
3rd year college level service crew bagger production worker service crew bagger production worker liaison officer bagger,Sales/Service/Retail,2
high school graduate driver gov driving no experience,General Services and Security,4
2nd year college level stock clerk bagger stock clerk bagger production helper,Sales/Service/Retail,2
grade xii for k to 12 production worker computer literate beautician domestic chores no experience,Production and Manufacturing,1
high school graduate production machine operator production helper production machine operator production helper production machine operator,Production and Manufacturing,1
college graduate data encoder cashier service crew computer literate storeroom clerk,Sales/Service/Retail,2
1st year college level cashier service crew computer literate cashier,Sales/Service/Retail,2
2nd year college level promo salesperson promo salesperson merchandiser,Sales/Service/Retail,2
college graduate production worker production worker customer service assistant,Warehouse and Logistics,0
college graduate warehouse clerk warehouse clerk warehouse clerk,Warehouse and Logistics,0
college graduate human resource supervisor office clerk production worker cookery no experience,Warehouse and Logistics,0
college graduate admission clerk admission clerk no experience,Production and Manufacturing,1
1st year college level office clerk office clerk domestic helper,Warehouse and Logistics,0
3rd year high school grade ix for k to 12 warehouse clerk production worker warehouse clerk production worker no experience,Production and Manufacturing,1
high school graduate production worker production worker saleslady,Production and Manufacturing,1
high school graduate electronics technician forklift operator electronics guidance coordinator i gov,Warehouse and Logistics,0
grade xii for k to 12 service crew service crew no experience,Production and Manufacturing,1
grade xii for k to 12 store helper production helper masonry domestic chores no experience,Production and Manufacturing,1
vocational graduate production worker computer literate domestic chores production worker,Production and Manufacturing,1
grade xii for k to 12 merchandiser merchandiser merchandiser,Sales/Service/Retail,2
elementary graduate mail sorter mail sorter production worker,Warehouse and Logistics,0
high school graduate service crew computer literate barista barista,Production and Manufacturing,1
high school graduate warehouse clerk warehouse clerk production worker,Warehouse and Logistics,0
high school graduate truck driver driving truck driver,General Services and Security,4
2nd year college level bagger production worker bagger production worker production worker,Production and Manufacturing,1
high school graduate warehouse clerk warehouse clerk call center agent,Warehouse and Logistics,0
grade vi production helper production helper warehouse clerk,Production and Manufacturing,1
high school graduate mail sorter domestic chores hotel housekeeping attendant,Warehouse and Logistics,0
college graduate kitchen helper bottle sorter computer literate domestic chores no experience,Production and Manufacturing,1
high school graduate production worker production helper domestic chores no experience,Production and Manufacturing,1
1st year college level service crew production worker computer literate warehouse helper,Production and Manufacturing,1
high school graduate food repacker food repacker bread baker,Warehouse and Logistics,0
1st year college level warehouse helper warehouse helper sales amp marketing assistant sales amp marketing assistant,Warehouse and Logistics,0
high school graduate warehouse clerk warehouse clerk civil security assistant gov,Warehouse and Logistics,0
